地市,经度,纬度
徐州,117.46615384615384,34.16
德宏傣族景颇族自治州,98.17333333333332,24.436666666666667
德州,116.60916666666668,37.303333333333335
德阳,104.37,31.15285714285714
忻州,112.36,38.84928571428571
怀化,109.89769230769232,27.41692307692308
怒江傈僳族自治州,98.932,26.556
恩施土家族苗族自治州,109.55444444444444,30.18111111111111
惠州,114.42333333333332,23.14833333333333
成都,103.932,30.675
扬州,119.38625,32.53625
承德,117.79916666666668,40.96833333333333
抚州,116.47166666666664,27.62333333333333
抚顺,124.18,41.88
拉萨,91.06333333333332,29.739999999999995
揭阳,116.216,23.376
攀枝花,101.78666666666668,26.635
文山壮族苗族自治州,104.60777777777778,23.52
新乡,114.0023076923077,35.26076923076923
新余,114.84,27.813333333333333
无锡,120.24111111111112,31.6
日喀则地区,87.85473684210527,28.93105263157895
日照,119.266,35.454
昆明,102.81933333333332,25.140666666666668
昌吉回族自治州,88.04333333333334,44.05444444444444
昌都地区,97.04333333333334,30.75
昭通,103.9975,27.75333333333333
晋中,112.7525,37.34666666666667
晋城,112.928,36.339
景德镇,117.182,29.236
曲靖,103.86,25.51
朔州,112.735,39.59
朝阳,120.22857142857144,41.53857142857142
本溪,124.04714285714284,41.271428571428565
来宾,109.38333333333334,23.886666666666667
杭州,119.955,30.115714285714287
松原,124.728,44.916
林芝地区,94.73125,29.4225
果洛藏族自治州,100.05714285714286,33.99428571428571
枣庄,117.29222222222224,35.11555555555555
柳州,109.4175,24.77
株洲,113.291,27.49
桂林,110.52,25.334166666666665
梅州,116.08,24.25777777777777
梧州,110.984,23.48
楚雄彝族自治州,101.64636363636365,25.36
榆林,109.88615384615385,37.92076923076923
武威,102.87,37.786
武汉,114.29642857142856,30.586428571428574
毕节,105.535,27.10375
永州,111.71090909090908,25.88090909090909
汉中,107.125,33.123333333333335
汕头,116.70285714285714,23.358571428571427
汕尾,115.5,23.0
江门,112.805,22.438333333333333
池州,117.462,30.458
沈阳,123.292,41.864
沧州,116.565,38.21388888888889
河池,107.86583333333334,24.530833333333334
河源,114.85857142857142,23.97571428571429
泉州,118.5276923076923,24.97384615384616
泰安,117.00285714285714,36.05142857142857
泰州,120.042,32.416000000000004
泸州,105.5175,28.70125
洛阳,112.30466666666666,34.522666666666666
济南,117.02076923076925,36.47076923076923
济宁,116.75533333333333,35.45333333333333
海东地区,102.30571428571427,36.37
海北藏族自治州,100.776,37.352
海南藏族自治州,100.66166666666668,35.836666666666666
海口,110.324,20.022
海西蒙古族藏族自治州,97.53666666666668,36.94833333333333
淄博,118.02125,36.76
淮北,116.798,33.944
淮南,116.89571428571428,32.66285714285714
淮安,118.9811111111111,33.44777777777777
深圳,114.07571428571428,22.571428571428573
清远,112.81444444444443,24.19333333333333
温州,120.57727272727271,27.85090909090909
渭南,109.82,34.850833333333334
湖州,120.03000000000002,30.805
湘潭,112.79666666666668,27.835
湘西土家族苗族自治州,109.73777777777778,28.577777777777776
湛江,110.345,21.192
滁州,118.20444444444443,32.483333333333334
滨州,117.83,37.41625
漯河,113.924,33.596
漳州,117.52916666666664,24.33666666666667
潍坊,119.08153846153846,36.61846153846154
潮州,116.7325,23.6175
濮阳,115.25571428571428,35.871428571428574
烟台,120.93076923076924,37.41230769230769
焦作,113.12166666666668,35.13916666666667
牡丹江,129.99636363636364,44.594545454545454
玉林,110.19666666666666,22.596666666666664
玉树藏族自治州,96.33428571428573,33.207142857142856
玉溪,102.55625,24.317500000000003
珠海,113.45,22.2075
甘南藏族自治州,103.03888888888888,34.53888888888889
甘孜藏族自治州,100.3821052631579,30.51842105263158
白城,123.17,45.45666666666667
白山,127.0,41.96833333333333
白银,104.49833333333332,36.54166666666666
百色,106.4075,23.9275
益阳,112.16142857142856,28.705714285714286
盐城,120.045,33.534000000000006
盘锦,122.056,41.134
眉山,103.77428571428572,30.01
石嘴山,106.5175,39.0475
石家庄,114.67689655172414,38.17103448275862
石河子,83.4925,42.2175
福州,119.33285714285714,26.035
秦皇岛,119.33375,39.94375
红河哈尼族彝族自治州,103.1576923076923,23.476923076923075
绍兴,120.63285714285712,29.844285714285714
绥化,126.51090909090908,46.75363636363636
绵阳,104.814,31.591
聊城,115.91888888888889,36.48444444444445
肇庆,112.2811111111111,23.306666666666665
自贡,104.7585714285714,29.33428571428572
舟山,122.25,30.19
芜湖,118.37166666666668,31.2
苏州,120.69,31.391666666666666
茂名,110.89857142857144,21.74428571428572
荆州,112.42333333333336,30.07
荆门,112.47666666666667,30.991666666666664
莆田,118.98,25.405
莱芜,117.70666666666666,36.16333333333333
菏泽,115.67555555555556,35.19444444444444
萍乡,113.87166666666668,27.595
营口,122.2942857142857,40.57285714285714
葫芦岛,120.60428571428572,40.72428571428571
蚌埠,117.39625,33.02
衡水,115.80833333333334,37.81666666666667
衡阳,112.61,26.87384615384616
衢州,118.77142857142856,28.95
襄樊,112.003,32.031
西双版纳傣族自治州,100.905,21.8725
西宁,101.6775,36.6575
西安,108.94785714285716,34.28214285714286
许昌,113.77428571428572,34.05714285714286
贵港,109.87,23.295
贵阳,106.692,26.723000000000003
贺州,111.23,24.4875
资阳,104.84,30.204
赣州,115.1584210526316,25.610526315789475
赤峰,118.98076923076924,42.75615384615385
辽源,125.186,42.86
辽阳,123.21875,41.25375
达州,107.53375,31.2125
运城,111.07923076923076,35.24923076923077
连云港,119.17125,34.5325
迪庆藏族自治州,99.4,27.83
通化,125.91,41.94
通辽,121.61111111111111,43.73111111111111
遂宁,105.49,30.60333333333333
遵义,107.06133333333334,28.024
邢台,114.84166666666664,37.553333333333335
那曲地区,91.71,31.579090909090908
邯郸,114.637,36.5705
邵阳,111.06615384615384,26.98538461538461
郑州,113.50461538461538,34.70153846153846
郴州,113.07333333333334,25.8175
鄂尔多斯,109.31333333333332,39.443333333333335
鄂州,114.79,30.3525
酒泉,96.69571428571427,39.862857142857145
重庆,107.38027027027027,29.905135135135136
金华,119.891,29.134
金昌,102.11,38.41666666666666
钦州,109.025,22.1575
铁岭,124.0075,42.49
铜仁,108.73,27.85
铜川,109.04,35.078
铜陵,117.81,30.936
银川,106.27428571428572,38.40428571428571
锡林郭勒盟,115.11692307692309,43.316153846153846
锦州,121.31428571428572,41.26428571428572
镇江,119.47571428571428,32.13
长春,125.52727272727272,44.06545454545455
长沙,112.995,28.216
长治,113.08833333333332,36.67944444444444
阜新,121.76714285714286,42.041428571428575
阜阳,115.74875,32.89125
防城港,108.204,21.76
阳江,111.87,21.91
阳泉,113.35090909090908,37.76454545454545
阿克苏地区,80.965,41.226
阿勒泰地区,87.85125,47.46125
阿图什,76.455,39.88
阿坝藏族羌族自治州,102.74785714285714,32.17071428571428
阿拉善盟,103.5225,39.7075
阿里地区,81.40625,31.985
陇南,105.307,33.675
随州,113.52,31.686666666666667
雅安,102.83111111111111,29.89
青岛,120.3,36.23153846153846
鞍山,122.95888888888892,41.09777777777778
韶关,113.76727272727273,24.78
马鞍山,118.488,31.676
驻马店,114.18545454545456,32.96272727272727
鸡西,131.183,45.335
鹤壁,114.27666666666666,35.766666666666666
鹤岗,130.493,47.291
鹰潭,117.04,28.245
黄冈,115.22909090909091,30.55545454545455
黄南藏族自治州,101.828,35.346000000000004
黄山,118.1725,29.87625
黄石,115.03714285714284,30.13714285714286
黑河,127.245,49.375
黔东南苗族侗族自治州,108.41470588235292,26.60470588235294
黔南布依族苗族自治州,107.28153846153847,26.153076923076924
齐齐哈尔,124.41266666666668,47.54600000000001
龙岩,116.72875,25.24
