城市,PM2.5
威海,55.1175
娄底,148.2571212121212
孝感,147.99847826086958
宁德,23.49153846153846
宁波,32.825675675675676
安庆,136.77984615384617
安康,70.30655172413793
安阳,165.30727272727273
安顺,41.99524590163934
定西,31.824047619047615
宜宾,60.738297872340425
宜昌,144.77307692307693
宜春,70.69396551724138
宝鸡,57.73346666666667
宣城,79.98882352941176
宿州,98.65529411764705
宿迁,70.02681818181817
山南地区,6.875895765472313
岳阳,170.35694915254237
崇左,48.78845238095238
巢湖,145.53809523809525
巴中,56.668285714285716
巴彦淖尔,22.441498127340825
巴音郭楞蒙古自治州,45.29785660941001
常州,95.3592
常德,158.98999999999998
平凉,38.08979591836735
平顶山,191.36895833333332
广元,47.37347826086957
广安,45.57491803278689
广州,54.806296296296296
庆阳,36.172063492063494
廊坊,147.7
延安,45.62512396694215
开封,224.46046511627904
张家口,48.36913333333333
张家界,126.36320987654321
张掖,10.576196319018406
徐州,88.0825
德宏傣族景颇族自治州,23.287333333333333
德州,143.28595238095238
德阳,60.092888888888886
忻州,62.225243902439026
怀化,108.1239175257732
怒江傈僳族自治州,11.598970588235295
恩施土家族苗族自治州,93.97913580246914
惠州,42.24024390243902
成都,52.29750000000001
扬州,84.29607142857142
承德,46.114914285714285
抚州,50.66088888888889
抚顺,24.432894736842105
拉萨,2.384792452830189
揭阳,52.68103448275862
攀枝花,17.23855769230769
文山壮族苗族自治州,36.012834645669294
新乡,165.93560000000002
新余,70.97611111111111
无锡,81.92944444444444
日喀则地区,1.485814606741573
日照,83.16621621621621
昆明,19.732307692307693
昌吉回族自治州,10.601155555555556
昌都地区,3.084568181818182
昭通,37.45893805309734
晋中,121.73411764705882
晋城,156.31814814814814
景德镇,65.73018867924527
曲靖,17.52911290322581
朔州,61.63293103448276
朝阳,40.055523809523805
本溪,27.56659090909091
来宾,64.20175438596492
杭州,66.75931818181817
松原,20.082604166666666
林芝地区,5.6669920318725095
果洛藏族自治州,1.09739898989899
枣庄,88.19914285714285
柳州,60.434903846153844
株洲,156.73885714285714
桂林,66.1841
梅州,41.37765625
梧州,43.66106060606061
楚雄彝族自治州,18.443669724770643
榆林,40.58673076923077
武威,21.270087719298246
武汉,153.30472222222224
毕节,42.03620253164557
永州,86.08383720930233
汉中,54.533611111111114
汕头,36.58666666666667
汕尾,44.904444444444444
江门,44.62085714285714
池州,110.11200000000001
沈阳,29.97673076923077
沧州,122.11448979591836
河池,59.44038759689923
河源,46.6541095890411
泉州,25.030579710144927
泰安,145.41347826086957
泰州,62.022941176470596
泸州,44.51736263736264
洛阳,185.54
济南,195.368
济宁,104.08631578947367
海东地区,17.3775
海北藏族自治州,2.098
海南藏族自治州,1.271741935483871
海口,15.311489361702128
海西蒙古族藏族自治州,1.562954209748892
淄博,178.5290625
淮北,111.08970588235294
淮南,151.42228571428572
淮安,74.56738095238094
深圳,35.87083333333333
清远,55.764374999999994
温州,32.85636363636364
渭南,127.49122807017544
湖州,82.53500000000001
湘潭,213.48925925925926
湘西土家族苗族自治州,110.0158888888889
湛江,24.181025641025638
滁州,124.26375
滨州,121.38333333333334
漯河,213.354
漳州,33.19304347826087
潍坊,137.91964912280702
潮州,38.3748
濮阳,201.38
烟台,82.42607843137255
焦作,165.6331818181818
牡丹江,15.456413793103447
玉林,33.71118644067797
玉树藏族自治州,0.7799736495388669
玉溪,19.49967032967033
珠海,27.755555555555556
甘南藏族自治州,2.4265986394557824
甘孜藏族自治州,3.2305612244897963
白城,19.10304054054054
白山,15.480000000000002
白银,42.963614457831326
百色,56.91638888888888
益阳,164.98071428571427
盐城,60.27275862068966
盘锦,33.033478260869565
眉山,58.26294117647059
石嘴山,31.738888888888887
石家庄,139.5222222222222
石河子,52.665845410628016
福州,21.039620253164557
秦皇岛,52.901500000000006
红河哈尼族彝族自治州,23.702372881355934
绍兴,56.24342857142857
绥化,24.91925925925926
绵阳,43.69542857142857
聊城,177.0645098039216
肇庆,61.0695652173913
自贡,80.11083333333333
舟山,11.323333333333332
芜湖,154.28777777777776
苏州,60.2640909090909
茂名,29.554285714285715
荆州,180.5981132075472
荆门,184.05236842105262
莆田,20.83453781512605
莱芜,143.30628571428574
菏泽,177.5261904761905
萍乡,86.4677966101695
营口,33.918510638297874
葫芦岛,40.186470588235295
蚌埠,117.59342857142859
衡水,140.91272727272727
衡阳,158.5684745762712
衢州,39.897761194029854
襄樊,159.75835616438357
西双版纳傣族自治州,21.88355140186916
西宁,13.596379310344828
西安,113.5174
许昌,217.88909090909092
贵港,51.67666666666667
贵阳,45.151500000000006
贺州,55.15817073170732
资阳,83.60060606060607
赣州,43.54528
赤峰,21.87995157384988
辽源,26.450701754385967
辽阳,29.9247619047619
达州,58.531844660194174
运城,169.6650909090909
连云港,54.17690476190476
迪庆藏族自治州,5.860343511450382
通化,26.857613636363634
通辽,22.571026785714285
遂宁,66.19533333333334
遵义,51.460793650793654
邢台,154.82977272727274
那曲地区,0.38793903247183564
邯郸,159.210625
邵阳,121.58036144578314
郑州,201.87080000000003
郴州,59.97155339805825
鄂尔多斯,24.608139534883723
鄂州,134.98
酒泉,6.152131578947368
重庆,63.97738095238095
金华,42.93351851851852
金昌,14.65691056910569
钦州,32.56212765957447
铁岭,27.136415094339622
铜仁,81.69524271844661
铜川,69.86021739130435
铜陵,154.901724137931
银川,33.59305555555555
锡林郭勒盟,15.781522762951335
锦州,36.05333333333333
镇江,95.02444444444444
长春,20.644142857142857
长沙,200.68736842105264
长治,122.03787878787878
阜新,29.74857142857143
阜阳,175.98754716981134
防城港,28.717560975609757
阳江,40.1435
阳泉,110.74913793103448
阿克苏地区,150.98344357976654
阿勒泰地区,1.302510460251046
阿图什,45.97832167832168
